aX,aY,aZ,gX,gY,gZ
"
0.938",-0.541,0.043,-13.367,-28.442,1.160
"
0.886",-0.619,0.031,-16.052,-34.607,-0.793
"
0.845",-0.674,0.016,-21.484,-34.851,-1.038
"
0.838",-0.695,0.009,-28.320,-30.701,0.305
"
0.839",-0.681,0.004,-35.400,-24.170,1.831
"
0.838",-0.666,0.006,-40.649,-16.418,3.418
"
0.863",-0.624,-0.014,-42.419,-6.287,5.188
"
0.928",-0.602,-0.028,-40.710,1.709,8.545
"
1.024",-0.622,-0.050,-34.363,2.625,13.672
"
1.119",-0.638,-0.087,-24.719,-3.662,18.066
"
1.181",-0.654,-0.118,-14.038,-18.311,21.362
"
1.183",-0.656,-0.140,-4.700,-39.490,22.888
"
1.170",-0.637,-0.146,2.380,-58.899,23.193
"
1.125",-0.630,-0.144,6.348,-70.679,21.545
"
1.083",-0.603,-0.131,5.188,-71.472,18.860
"
1.069",-0.561,-0.101,-0.427,-60.791,15.747
"
1.083",-0.529,-0.078,-6.714,-43.030,11.353
"
1.133",-0.518,-0.094,-12.207,-23.682,4.944
"
1.185",-0.525,-0.125,-16.296,-7.751,-1.221
"
1.220",-0.532,-0.155,-18.494,1.282,-6.348
"
1.239",-0.554,-0.173,-19.409,3.418,-10.620
"
1.229",-0.595,-0.171,-18.616,0.183,-13.000
"
1.195",-0.626,-0.147,-16.785,-5.859,-13.123
"
1.141",-0.650,-0.098,-14.099,-14.282,-11.841
"
1.080",-0.668,-0.031,-10.620,-23.071,-9.338
"
1.006",-0.686,0.034,-6.287,-29.968,-6.470
"
0.934",-0.715,0.091,-0.916,-31.921,-3.296
"
0.874",-0.739,0.138,3.967,-27.344,-1.099
"
0.831",-0.765,0.165,7.690,-16.052,0.671
"
0.823",-0.799,0.172,10.681,-0.061,1.465
"
0.836",-0.826,0.146,13.489,17.273,2.563
"
0.868",-0.856,0.099,16.418,32.837,5.249
"
0.932",-0.887,0.044,19.043,44.861,10.254
"
1.020",-0.903,-0.001,20.325,50.903,16.113
"
1.107",-0.918,-0.015,21.484,48.584,21.484
"
1.168",-0.923,-0.016,22.522,41.504,26.306
"
1.230",-0.976,0.024,25.391,35.950,30.518
"
1.254",-0.980,0.060,28.564,33.569,32.043
"
1.265",-1.004,0.092,32.043,36.133,32.532
"
1.263",-1.021,0.116,35.645,44.800,31.921
"
1.240",-1.033,0.133,37.537,56.702,30.884
"
1.212",-1.048,0.138,37.842,68.970,30.334
"
1.183",-1.056,0.142,37.537,80.200,31.799
"
1.191",-1.043,0.173,39.368,88.928,37.354
"
1.219",-0.979,0.201,45.654,88.013,48.950
"
1.262",-0.876,0.234,58.044,70.984,65.002
"
1.254",-0.752,0.263,75.806,37.476,81.909
"

0.288",2.069,-0.370,-59.998,-42.786,147.034
"
0.380",2.184,-0.331,-90.759,-33.569,132.751
"
0.454",2.270,-0.208,-117.371,-12.390,121.277
"
0.689",2.127,-0.058,-129.883,11.780,119.690
"
0.897",2.028,0.078,-130.249,23.621,112.061
"
1.043",1.902,0.188,-121.338,7.751,91.553
"
1.101",1.689,0.289,-101.440,-18.005,70.129
"
1.103",1.528,0.346,-75.134,-55.237,48.645
"
1.024",1.435,0.350,-45.654,-87.219,32.593
